run_name,cluster,budget_half,hypothesis,variant,seed,train_split_id,val_split_id,test_split_id,confirm_split_id,stage,commit,parent_checkpoint,config_path,results_dir,status,reproduced,retired,retirement_reason,summary_json,verification_json,verification_status,notes
20260320_164809_reinforce_benchmark_b_v2_controlsticky_keepalive_exitmask,D,exploration,Adding a final-query exit mask to REINFORCE might stop immediate-exit collapse long enough for sampled hard routing to discover a useful delayed policy.,reinforce-exitmask,1404,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,scout,2ae7d68,,configs/phase7/dev/reinforce_benchmark_b_v2_controlsticky_keepalive_exitmask.yaml,results/phase7_dev/20260320_164809_reinforce_benchmark_b_v2_controlsticky_keepalive_exitmask,completed,no,true,Masked REINFORCE still collapsed to immediate exit with zero final-query route match on both trainer and independent audit.,results/phase7_dev/20260320_164809_reinforce_benchmark_b_v2_controlsticky_keepalive_exitmask/summary.json,results/phase7_dev/20260320_164809_reinforce_benchmark_b_v2_controlsticky_keepalive_exitmask/artifacts/phase7_verify/verification.json,base_verified,"Trainer best val was 0.4517/0.2524/0.2642/0.0000/2.06 and test was 0.3285/0.2559/0.2600/0.0000/0.00. After extending phase7_verify to support reinforce checkpoints, independent base verify matched at 0.3288/0.2559/0.2614/0.0000/0.00."
20260320_165043_reinforce_benchmark_b_v2_controlsticky_keepalive_exitmask_controlaux,D,exploration,Auto-generated phase-7 ledger entry for reinforce_benchmark_b_v2_controlsticky_keepalive_exitmask_controlaux.,reinforce_benchmark_b_v2_controlsticky_keepalive_exitmask_controlaux,,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,scout,2270040,,configs/phase7/dev/reinforce_benchmark_b_v2_controlsticky_keepalive_exitmask_controlaux.yaml,results/phase7_dev/20260320_165043_reinforce_benchmark_b_v2_controlsticky_keepalive_exitmask_controlaux,completed,unknown,false,,results/phase7_dev/20260320_165043_reinforce_benchmark_b_v2_controlsticky_keepalive_exitmask_controlaux/summary.json,results/phase7_dev/20260320_165043_reinforce_benchmark_b_v2_controlsticky_keepalive_exitmask_controlaux/artifacts/phase7_verify/verification.json,base_verified,"Auto-imported summary: overall=0.3164, route=0.2524, fq_acc=0.2522, fq_route=0.0000, fq_exit=0.00."
hard_st_b_v2_forceoracle_release_longerstrong_seed1302_rerun1,D,exploration,Auto-generated phase-7 ledger entry for hard_st_b_v2_forceoracle_release_longerstrong.,hard_st_b_v2_forceoracle_release_longerstrong,1302,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,rerun,2270040,,configs/phase7/dev/hard_st_benchmark_b_v2_forceoracle_release_longerstrong.yaml,results/phase7_dev/hard_st_b_v2_forceoracle_release_longerstrong_seed1302_rerun1,completed,yes,false,,results/phase7_dev/hard_st_b_v2_forceoracle_release_longerstrong_seed1302_rerun1/summary.json,,rerun_confirmed,"Auto-imported summary: overall=0.4014, route=0.4868, fq_acc=0.2512, fq_route=0.5720, fq_exit=98.70."
hard_st_b_v2_forceoracle_release_longerstrong_seed990_p1,D,exploration,Stronger force-oracle release with a longer schedule may seed more usable late-route structure than the earlier forceoracle branch.,forceoracle-release-longerstrong,1302,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,scout,2270040,results/phase3_dev/hard_st_b_v2_keymem_payloadaux_oraclewarm/hard_st_best.pt,configs/phase7/dev/hard_st_benchmark_b_v2_forceoracle_release_longerstrong.yaml,results/phase7_dev/hard_st_b_v2_forceoracle_release_longerstrong_seed990_p1,completed,unknown,false,,results/phase7_dev/hard_st_b_v2_forceoracle_release_longerstrong_seed990_p1/summary.json,,unverified,"Completed scout improved the old forceoracle boundary enough to keep the branch alive: overall=0.6283, route=0.5778, fq_acc=0.2801, fq_route=0.1912, fq_exit=63.63, best_val=0.6313. Still clearly behind the stronger recovery family, but it seeds real late-route structure rather than collapsing completely. Note: results dir keeps the old seed990 naming convention, but the actual config seed is 1302."
hard_st_b_v2_forceoracle_release_replay_seed1301_p1,D,exploration,Replaying the base force-oracle release under phase-7 accounting gives a direct comparison against the stronger longerstrong branch and checks whether the improvement was real.,forceoracle-release-replay,1301,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,scout,2270040,results/phase3_dev/hard_st_b_v2_keymem_payloadaux_oraclewarm/hard_st_best.pt,configs/phase7/dev/hard_st_benchmark_b_v2_forceoracle_release_replay.yaml,results/phase7_dev/hard_st_b_v2_forceoracle_release_replay_seed1301_p1,completed,unknown,false,,results/phase7_dev/hard_st_b_v2_forceoracle_release_replay_seed1301_p1/summary.json,,unverified,"Completed replay scout confirms that the stronger forceoracle branch improvement was real. Base replay reached overall=0.6162, route=0.4925, fq_acc=0.2854, fq_route=0.0488, fq_exit=64.79, best_val=0.6089, clearly below longerstrong on route match but still better than pure early-exit collapse."
reinforce_b_v2_controlsticky_keepalive_base_seed1401_p1,D,exploration,Auto-generated phase-7 ledger entry for reinforce_b_v2_controlsticky_keepalive_base.,reinforce_b_v2_controlsticky_keepalive_base,1401,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,scout,2270040,,configs/phase7/dev/reinforce_benchmark_b_v2_controlsticky_keepalive_base.yaml,results/phase7_dev/reinforce_b_v2_controlsticky_keepalive_base_seed1401_p1,completed,unknown,false,,results/phase7_dev/reinforce_b_v2_controlsticky_keepalive_base_seed1401_p1/summary.json,,unverified,"Auto-imported summary: overall=0.4458, route=0.2524, fq_acc=0.2751, fq_route=0.0000, fq_exit=0.00."
reinforce_b_v2_controlsticky_keepalive_controlaux_seed1403_p1,D,exploration,Auto-generated phase-7 ledger entry for reinforce_b_v2_controlsticky_keepalive_controlaux.,reinforce_b_v2_controlsticky_keepalive_controlaux,1403,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,scout,2270040,,configs/phase7/dev/reinforce_benchmark_b_v2_controlsticky_keepalive_controlaux.yaml,results/phase7_dev/reinforce_b_v2_controlsticky_keepalive_controlaux_seed1403_p1,completed,unknown,false,,results/phase7_dev/reinforce_b_v2_controlsticky_keepalive_controlaux_seed1403_p1/summary.json,,unverified,"Auto-imported summary: overall=0.4482, route=0.2524, fq_acc=0.2681, fq_route=0.0000, fq_exit=0.00."
reinforce_b_v2_controlsticky_keepalive_controlaux_seed1403_rerun1,D,exploration,Auto-generated phase-7 ledger entry for reinforce_b_v2_controlsticky_keepalive_controlaux.,reinforce_b_v2_controlsticky_keepalive_controlaux,1403,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,rerun,2270040,,configs/phase7/dev/reinforce_benchmark_b_v2_controlsticky_keepalive_controlaux.yaml,results/phase7_dev/reinforce_b_v2_controlsticky_keepalive_controlaux_seed1403_rerun1,completed,yes,false,,results/phase7_dev/reinforce_b_v2_controlsticky_keepalive_controlaux_seed1403_rerun1/summary.json,,rerun_confirmed,"Auto-imported summary: overall=0.4482, route=0.2524, fq_acc=0.2681, fq_route=0.0000, fq_exit=0.00."
reinforce_b_v2_controlsticky_keepalive_entropyhigh_seed1402_p1,D,exploration,Auto-generated phase-7 ledger entry for reinforce_b_v2_controlsticky_keepalive_entropyhigh.,reinforce_b_v2_controlsticky_keepalive_entropyhigh,1402,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,scout,2270040,,configs/phase7/dev/reinforce_benchmark_b_v2_controlsticky_keepalive_entropyhigh.yaml,results/phase7_dev/reinforce_b_v2_controlsticky_keepalive_entropyhigh_seed1402_p1,completed,unknown,false,,results/phase7_dev/reinforce_b_v2_controlsticky_keepalive_entropyhigh_seed1402_p1/summary.json,,unverified,"Auto-imported summary: overall=0.4463, route=0.2524, fq_acc=0.2731, fq_route=0.0000, fq_exit=1.00."
reinforce_b_v2_controlsticky_keepalive_entropyhigh_seed1402_rerun1,D,exploration,Exact same-seed rerun of the strongest REINFORCE variant checks whether the cluster-D negative map is stable enough to retire policy-gradient discovery fairly.,reinforce-keepalive-entropyhigh-rerun,1402,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,rerun,2270040,,configs/phase7/dev/reinforce_benchmark_b_v2_controlsticky_keepalive_entropyhigh.yaml,results/phase7_dev/reinforce_b_v2_controlsticky_keepalive_entropyhigh_seed1402_rerun1,completed,yes,false,,results/phase7_dev/reinforce_b_v2_controlsticky_keepalive_entropyhigh_seed1402_rerun1/summary.json,,rerun_confirmed,"Exact same-seed rerun matched the original REINFORCE entropyhigh result numerically on test: overall=0.4391, route=0.2559, fq_acc=0.2320, fq_route=0.0000, fq_exit=1.00. That makes the cluster-D entropyhigh negative reproducible rather than a one-shot miss."
20260320_164809_hard_st_benchmark_b_v2_controlsetclear_waitstate_memoryheavy_phase7,E,exploration,A heavier wait-state/control-memory path might produce durable delayed control even if the simpler set/clear variants collapsed.,controlsetclear-waitstate-memoryheavy,1307,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,scout,2ae7d68,,configs/phase7/dev/hard_st_benchmark_b_v2_controlsetclear_waitstate_memoryheavy_phase7.yaml,results/phase7_dev/20260320_164809_hard_st_benchmark_b_v2_controlsetclear_waitstate_memoryheavy_phase7,completed,no,true,The heavier wait-state family was another validation mirage that collapsed back to zero final-query routing on the base split.,results/phase7_dev/20260320_164809_hard_st_benchmark_b_v2_controlsetclear_waitstate_memoryheavy_phase7/summary.json,results/phase7_dev/20260320_164809_hard_st_benchmark_b_v2_controlsetclear_waitstate_memoryheavy_phase7/artifacts/phase7_verify/verification.json,base_verified,"Trainer best val was 0.5112/0.3413/0.2552/0.0000/25.84, but trainer test fell to 0.2624/0.0140/0.2533/0.0000/19.86. Independent base verify confirmed the collapse at 0.2565/0.0124/0.2273/0.0000/19.80."
20260320_165326_hard_st_benchmark_b_v2_router2_setclear_base_phase7,E,exploration,Exact rerun checks whether the moderate-delay router2 set/clear base family is reproducible rather than a seed-local fluctuation.,router2-setclear-base-phase7,1308,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,rerun,2ae7d68,,configs/phase7/dev/hard_st_benchmark_b_v2_router2_setclear_base_phase7.yaml,results/phase7_dev/20260320_165326_hard_st_benchmark_b_v2_router2_setclear_base_phase7,completed,yes,true,Exact rerun and independent verify still showed zero final-query route match,results/phase7_dev/20260320_165326_hard_st_benchmark_b_v2_router2_setclear_base_phase7/summary.json,results/phase7_dev/20260320_165326_hard_st_benchmark_b_v2_router2_setclear_base_phase7/artifacts/phase7_verify/verification.json,base_verified,results/phase7_dev/20260320_165326_hard_st_benchmark_b_v2_router2_setclear_base_phase7/artifacts/phase7_verify/verification.json
20260320_165327_hard_st_benchmark_b_v2_controlsetclear_memoryheavy_exitselect_phase7,E,exploration,Exact rerun checks whether the memoryheavy exit-select setclear family really learns anything beyond longer delays without final-query routing.,controlsetclear-memoryheavy-exitselect-phase7,1306,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,rerun,2ae7d68,,configs/phase7/dev/hard_st_benchmark_b_v2_controlsetclear_memoryheavy_exitselect_phase7.yaml,results/phase7_dev/20260320_165327_hard_st_benchmark_b_v2_controlsetclear_memoryheavy_exitselect_phase7,completed,yes,true,Exact rerun and independent verify confirmed another zero-final-route negative,results/phase7_dev/20260320_165327_hard_st_benchmark_b_v2_controlsetclear_memoryheavy_exitselect_phase7/summary.json,results/phase7_dev/20260320_165327_hard_st_benchmark_b_v2_controlsetclear_memoryheavy_exitselect_phase7/artifacts/phase7_verify/verification.json,base_verified,results/phase7_dev/20260320_165327_hard_st_benchmark_b_v2_controlsetclear_memoryheavy_exitselect_phase7/artifacts/phase7_verify/verification.json
20260320_165811_hard_st_benchmark_b_v2_controlsetclear_waitstate_memoryheavy_phase7,E,exploration,Exact rerun checks whether the waitstate-memoryheavy validation spike was real or a mirage.,controlsetclear-waitstate-memoryheavy,1307,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,rerun,2ae7d68,,configs/phase7/dev/hard_st_benchmark_b_v2_controlsetclear_waitstate_memoryheavy_phase7.yaml,results/phase7_dev/20260320_165811_hard_st_benchmark_b_v2_controlsetclear_waitstate_memoryheavy_phase7,completed,yes,true,The rerun reproduced the base-collapse behavior and retires this waitstate setclear branch as a validation mirage.,results/phase7_dev/20260320_165811_hard_st_benchmark_b_v2_controlsetclear_waitstate_memoryheavy_phase7/summary.json,results/phase7_dev/20260320_165811_hard_st_benchmark_b_v2_controlsetclear_waitstate_memoryheavy_phase7/artifacts/phase7_verify/verification.json,base_verified,"Trainer rerun matched the original exactly on best-val and test. Independent base verify reproduced the collapse at 0.2565/0.0124/0.2273/0.0000/19.80, so the validation spike does not survive re-evaluation."
hard_st_b_v2_controlsetclear_memoryheavy_exitselect_phase7_seed1306_p1,E,exploration,Auto-generated phase-7 ledger entry for hard_st_b_v2_controlsetclear_memoryheavy_exitselect_phase7.,hard_st_b_v2_controlsetclear_memoryheavy_exitselect_phase7,1306,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001;confirm_seed=22001,scout,2270040,,configs/phase7/dev/hard_st_benchmark_b_v2_controlsetclear_memoryheavy_exitselect_phase7.yaml,results/phase7_dev/hard_st_b_v2_controlsetclear_memoryheavy_exitselect_phase7_seed1306_p1,completed,unknown,false,,results/phase7_dev/hard_st_b_v2_controlsetclear_memoryheavy_exitselect_phase7_seed1306_p1/summary.json,,unverified,"Auto-imported summary: overall=0.5244, route=0.3789, fq_acc=0.2433, fq_route=0.0000, fq_exit=33.77."
