run_name,cluster,bucket,source_family,seed,split_ids,status,commit,parent_checkpoint,route_anchor,content_teacher,memory_router_control_frozen,trainable_components,aux_or_distill_targets,result_summary,verification_status,retirement_reason,trainable_params,train_steps,wallclock_hours,gpu_count
hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,anchor,mainline,1874,18011,base+full_locked+finalquery_heavy+longdistance,completed,d96240d,,16045,none,yes,readout+factorized_+trajectory_bank_,none,best_val dqf 0.9980/0.9384/121.46 ; full_locked dqf 0.9981/0.9496/122.27 ; finalquery_heavy dqf 0.9988/0.9443/121.86 ; longdistance dqf 0.9972/0.9508/153.44,anchor_reproduced,,3070864,384,,1
hard_st_b_v2_teacher1874_anchor16081_selectlocked_seed18012_p1,anchor,mainline,1874,18012,base+full_locked+finalquery_heavy+longdistance,completed,83daffd,,16045,16081,yes,readout+factorized_+trajectory_bank_,teacher15057 delayed_only logits,best_val dqf 0.9980/0.9464/121.93 ; full_locked dqf 0.9953/0.9374/121.06 ; finalquery_heavy dqf 0.9982/0.9369/121.10 ; longdistance dqf 0.9951/0.9432/152.51,anchor_reproduced,mismatch versus phase14 held route margin but still in the expected stable late-route lane,3070864,384,,1
hard_st_b_v2_teacher1874_anchor17024_selectlocked_seed18013_p1,anchor,mainline,1874,18013,base+full_locked+finalquery_heavy+longdistance,completed,83daffd,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,16081,yes,factorized_content_proj+factorized_bilinear+readout,teacher16081 factorized_content_weight 0.10 final_query_only,best_val dqf 0.9970/0.9434/121.57 ; full_locked dqf 0.9972/0.9384/120.91 ; finalquery_heavy dqf 0.9988/0.9430/121.55 ; longdistance dqf 0.9945/0.9404/152.11 ; clean rerun after duplicate-worker conflict,anchor_reproduced,,3070864,640,0.14,1
hard_st_b_v2_teacher1874_anchor17031_selectlocked_seed18014_p1,anchor,mainline,1874,18014,base+full_locked+finalquery_heavy+longdistance,completed,83daffd,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,16081,yes,factorized_content_proj+factorized_bilinear+readout,teacher16081 factorized_content_weight 0.10 + parameter_anchor(readout->16045),best_val dqf 0.9940/0.9305/120.34 ; full_locked dqf 0.9963/0.9393/121.18 ; finalquery_heavy dqf 0.9963/0.9382/121.41 ; longdistance dqf 0.9951/0.9362/151.44 ; clean rerun after duplicate-worker conflict,anchor_reproduced,milder than the phase14 single-run peak but still within the expected stable late-route lane,3070864,640,0.14,1
hard_st_b_v2_teacher1821_anchor17101_selectlexi_hardslice_seed18015_p1,anchor,characterization,1821,18015,base+full_locked+finalquery_heavy+longdistance,completed,a43e0e6,,17101,none,yes,readout+factorized_+trajectory_bank_,aux finalqueryheavy/longdistance + lexicographic hard-slice selector,best_val dqf 0.9831/0.9176/122.09 ; full_locked dqf 0.9795/0.9057/121.09 ; finalquery_heavy dqf 0.9847/0.9130/122.04 ; longdistance dqf 0.9868/0.8947/152.18,anchor_reproduced,summary-time portability reproduction is healthy enough to clear the anchor gate and release the first richer-content scout wave,3070864,640,0.20,1
hard_st_b_v2_teacher1879_anchor17103_selectlexi_hardslice_seed18016_p1,anchor,characterization,1879,18016,base+full_locked+finalquery_heavy+longdistance,completed,a43e0e6,,17103,none,yes,reader_head_only,aux finalqueryheavy/longdistance + lexicographic hard-slice selector,best_val dqf 0.2314/0.8838/122.63 ; full_locked dqf 0.2652/0.8982/123.04 ; finalquery_heavy dqf 0.2492/0.8916/122.68 ; longdistance dqf 0.2543/0.7678/150.35,anchor_reproduced,proper negative-control behavior on the current stack: hard-slice selectors preserve late exits but do not manufacture content recovery on 1879,3070864,640,0.16,1
hard_st_b_v2_teacher1874_contentpath_resume16045_multislot2_independent_base_seed18021_p1,A,mainline,1874,18021,base+full_locked+finalquery_heavy+longdistance,completed,a43e0e6,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,none,yes,factorized_content_proj+factorized_content_slot+factorized_bilinear+readout,2-slot independent content channel,best_val dqf 0.9960/0.9424/121.86 ; full_locked dqf 0.9981/0.9514/122.20 ; finalquery_heavy dqf 0.9988/0.9449/121.62 ; longdistance dqf 0.9965/0.9369/151.72,hardslice_retired,confirm hard-slice gate failed versus 18011: lost late-route disagreements 1-3 and worsened late_wrong_content from 1 to 3 despite strong summary slices,3120272,640,0.10,1
hard_st_b_v2_teacher1874_contentpath_resume16045_multislot4_independent_base_seed18022_p1,A,mainline,1874,18022,base+full_locked+finalquery_heavy+longdistance,config_ready,d96240d,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,none,yes,factorized_content_proj+factorized_content_slot+factorized_bilinear+readout,4-slot independent content channel,,,,,3153296,640,,1
hard_st_b_v2_teacher1874_contentpath_resume16045_multislot2_shared_mean_base_seed18023_p1,A,mainline,1874,18023,base+full_locked+finalquery_heavy+longdistance,completed,d96240d,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,none,yes,factorized_content_proj+factorized_content_slot+factorized_bilinear+readout,2-slot shared content channel mean pooling,best_val dqf 0.9980/0.9494/122.27 ; full_locked dqf 0.9991/0.9374/121.19 ; finalquery_heavy dqf 0.9982/0.9455/121.79 ; longdistance dqf 0.9972/0.9439/152.56,hardslice_retired,confirm hard-slice gate failed versus 18011: lost late-route disagreements 1-3 and worsened late_wrong_content from 1 to 3,3087632,640,0.11,1
hard_st_b_v2_teacher1874_contentpath_resume16045_multislot4_shared_mean_base_seed18026_p1,A,mainline,1874,18026,base+full_locked+finalquery_heavy+longdistance,completed,d96240d,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,none,yes,factorized_content_proj+factorized_content_slot+factorized_bilinear+readout,4-slot shared content channel mean pooling,best_val dqf 0.9990/0.9275/119.97 ; full_locked dqf 0.9953/0.9468/122.15 ; finalquery_heavy dqf 0.9994/0.9424/121.36 ; longdistance dqf 0.9993/0.9536/153.64,hardslice_candidate,confirm hard-slice held versus 18011: late-route disagreements split 1-1 and late_wrong_content stayed flat at 1,3087888,640,0.10,1
hard_st_b_v2_teacher1874_contentpath_resume16045_multislot2_independent_mean_base_seed18027_p1,A,mainline,1874,18027,base+full_locked+finalquery_heavy+longdistance,completed,d96240d,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,none,yes,factorized_content_proj+factorized_content_slot+factorized_bilinear+readout,2-slot independent content channel mean pooling,best_val dqf 1.0000/0.9355/120.59 ; full_locked dqf 0.9981/0.9505/122.09 ; finalquery_heavy dqf 0.9963/0.9498/122.52 ; longdistance dqf 0.9938/0.9446/152.57,hardslice_retired,confirm hard-slice gate failed versus 18011: lost late-route disagreements 1-3 and worsened late_wrong_content from 1 to 3 despite the strongest summary-time full_locked route/content yet in the multislot family,3103888,640,0.12,1
hard_st_b_v2_teacher1874_contentpath_resume16045_multislot2_shared_attention_base_seed18028_p1,A,mainline,1874,18028,base+full_locked+finalquery_heavy+longdistance,completed,d96240d,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,none,yes,factorized_content_proj+factorized_content_slot+factorized_bilinear+readout,2-slot shared content channel attention pooling,best_val dqf 0.9950/0.9404/121.52 ; full_locked dqf 0.9963/0.9346/120.69 ; finalquery_heavy dqf 0.9969/0.9357/120.76 ; longdistance dqf 0.9979/0.9473/152.78,hardslice_retired,confirm hard-slice gate failed versus 18011: lost late-route disagreements 1-3 and worsened late_wrong_content from 1 to 3,3104016,640,0.10,1
hard_st_b_v2_teacher1874_contentpath_resume16045_multislot2_independent_learnedinit_base_seed18029_p1,A,mainline,1874,18029,base+full_locked+finalquery_heavy+longdistance,completed,d96240d,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,none,yes,factorized_content_proj+factorized_content_slot+factorized_bilinear+readout,2-slot independent content channel learned init,best_val dqf 0.9960/0.9484/122.40 ; full_locked dqf 0.9953/0.9356/120.82 ; finalquery_heavy dqf 0.9933/0.9412/121.51 ; longdistance dqf 0.9958/0.9522/153.56,hardslice_retired,confirm hard-slice gate failed versus 18011: lost late-route disagreements 1-3 and worsened late_wrong_content from 1 to 3,3120272,640,0.11,1
hard_st_b_v2_teacher1874_contentpath_resume16045_multislot4_independent_learnedinit_base_seed18030_p1,A,mainline,1874,18030,base+full_locked+finalquery_heavy+longdistance,completed,d96240d,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,none,yes,factorized_content_proj+factorized_content_slot+factorized_bilinear+readout,4-slot independent content channel learned init,best_val dqf 0.9960/0.9454/121.88 ; full_locked dqf 0.9991/0.9477/122.18 ; finalquery_heavy dqf 0.9920/0.9351/120.56 ; longdistance dqf 0.9945/0.9397/151.52,hardslice_retired,confirm hard-slice gate failed versus 18011: lost late-route disagreements 1-3 and worsened late_wrong_content from 1 to 3 despite the strongest learned-init full_locked summary slice,3153296,640,0.10,1
hard_st_b_v2_teacher1874_contentpath_resume16045_multislot4_shared_mean_base_seed18026_rerun1_p1,A,mainline,1874,18026,base+full_locked+finalquery_heavy+longdistance,completed,b37981b,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,none,yes,factorized_content_proj+factorized_content_slot+factorized_bilinear+readout,4-slot shared content channel mean pooling exact same-seed rerun,best_val dqf 0.9990/0.9275/119.97 ; full_locked dqf 0.9953/0.9468/122.15 ; finalquery_heavy dqf 0.9994/0.9424/121.36 ; longdistance dqf 0.9993/0.9536/153.64,rerun_clean_pending_locked_confirm,exact same-seed rerun matched the original 18026 summary slices exactly and clears the rerun gate into locked confirm,3087888,640,0.10,1
hard_st_b_v2_teacher1874_contentpath_resume16045_multislot4_shared_mean_base_seed18026_confirm1,A,mainline,1874,18026,confirm_full_locked+confirm_finalquery_heavy+confirm_longdistance,completed,f3759de,results/phase15_dev/hard_st_b_v2_teacher1874_contentpath_resume16045_multislot4_shared_mean_base_seed18026_rerun1_p1/hard_st_best.pt,16045,none,yes,eval_only,phase15_verify locked confirmation sweep after rerun-clean 18026,full_locked overall/dqf 0.6527/0.2874/0.8850/116.22 ; finalquery_heavy 0.4427/0.2972/0.8789/115.56 ; longdistance 0.5260/0.3303/0.8868/145.62,confirm_ceiling_stable,locked confirm preserved the late-route regime but fell back to the old held-confirm content ceiling,3087888,,,,1
