sample_id,benchmark_name,run_name,step,sample_index,label,prediction,correct,mode,needs_final_query,route_match,exit_time,query_time,late_relaxed,late_strict,retrieval_distance,payload,query,trigger_time
confirm:0:0,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,0,1,1,True,0,False,True,0.0,127.0,False,False,0,1,2,45
confirm:0:1,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,1,1,1,True,0,False,True,0.0,127.0,False,False,0,1,0,2
confirm:0:2,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,2,2,2,True,1,False,True,20.0,127.0,False,False,0,2,3,20
confirm:0:3,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,3,2,2,True,1,False,True,27.0,127.0,False,False,0,2,1,27
confirm:0:4,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,4,0,0,True,2,True,True,127.0,127.0,True,True,94,2,2,33
confirm:0:5,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,5,3,3,True,2,True,True,127.0,127.0,True,True,121,0,3,6
confirm:0:6,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,6,3,3,True,2,True,True,127.0,127.0,True,True,110,0,3,17
confirm:0:7,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,7,0,0,True,1,False,True,24.0,127.0,False,False,0,0,2,24
confirm:0:8,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,8,2,2,True,1,False,True,30.0,127.0,False,False,0,2,1,30
confirm:0:9,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,9,0,0,True,2,True,True,127.0,127.0,True,True,68,2,2,59
confirm:0:10,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,10,0,0,True,2,True,True,127.0,127.0,True,True,114,1,3,13
confirm:0:11,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,11,1,1,True,2,True,True,127.0,127.0,True,True,117,2,3,10
confirm:0:12,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,12,3,3,True,2,True,True,127.0,127.0,True,True,103,1,2,24
confirm:0:13,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,13,1,1,True,2,True,True,127.0,127.0,True,True,107,2,3,20
confirm:0:14,long_horizon_memory_v2,20260326_005629_hard_st_benchmark_b_v2_teacher1874_anchor16045_selectlocked,0,14,3,3,True,2,True,True,127.0,127.0,True,True,86,2,1,41
