run_name,cluster,half,hypothesis,source_family,seed,split_ids,status,commit,parent_checkpoint,frozen_views,trajectory_bank,route_trace_features,memory_router_control_frozen,trainable_components,content_teacher_or_distill,es_stage,result_summary,verification_status,retirement_reason,trainable_params,train_steps,wallclock_hours,gpu_count
hard_st_b_v2_teacher1874_anchor_multiview_querygated_seed15012_p1,anchor,fruitful,Reproduce phase-10 strong-source multiview query-gated baseline,1874,15012,base+full_locked+finalquery_heavy,anchor_complete,4fbfaed,,final_sink_state+packet_state_query+readout_input,no,no_route_control,yes,reader_head_only,no,none,val overall=0.9888 fq_acc=0.9772 fq_route=0.9384 fq_exit=121.27,pending,,,,1,
hard_st_b_v2_teacher1874_anchor_queryfilm_seed15013_p1,anchor,fruitful,Reproduce phase-10 strong-source query-FILM near-tie baseline,1874,15013,base+full_locked+finalquery_heavy,anchor_complete,4fbfaed,,final_sink_state+packet_state_query+readout_input,no,no_route_control,yes,reader_head_only,no,none,val overall=0.8398 fq_acc=0.6753 fq_route=0.9434 fq_exit=121.78,pending,,,,1,
hard_st_b_v2_teacher1821_anchor_multiview_querygated_fq5_seed15014_p1,anchor,fruitful,Reproduce phase-10 medium-source portability baseline,1821,15014,base+full_locked+finalquery_heavy,anchor_complete,4fbfaed,,final_sink_state+packet_state_query+readout_input,no,no_route_control,yes,reader_head_only,no,none,val overall=0.8687 fq_acc=0.7617 fq_route=0.9275 fq_exit=122.89,pending,,,,1,
hard_st_b_v2_teacher1201_anchor_readoutprefix_13411_seed15015_p1,anchor,fruitful,Reproduce phase-11 stable frozen-1201 readout-prefix transfer boundary,1201,15015,base+full_locked+finalquery_heavy+longdistance,anchor_complete,4fbfaed,,final_sink_state+readout_prefix,no,no_route_control,yes,readout_prefix_head_only,no,none,val overall=0.6523 fq_acc=0.3833 fq_route=0.7766 fq_exit=124.08,pending,,,,1,
hard_st_b_v2_teacher1879_anchor_queryreadout_seed15016_p1,anchor,fruitful,Reproduce fragile negative-control head-only baseline,1879,15016,base+full_locked+finalquery_heavy,anchor_complete,4fbfaed,,final_sink_state+readout_input,no,no_route_control,yes,reader_head_only,no,none,val overall=0.2695 fq_acc=0.2860 fq_route=0.9017 fq_exit=123.36,pending,,,,1,
hard_st_b_v2_teacher1874_temporalbank_sinklate_querygated_finalqweight_seed15021_p1,A,fruitful,Late sink-state temporal bank beats endpoint-only reader on strong source,1874,15021,base+full_locked+finalquery_heavy,scout_complete,4fbfaed,,late_sink_window,yes,route_blind,yes,temporal_bank_reader,no,none,val overall=0.8750 fq_acc=0.7458 fq_route=0.9434 fq_exit=121.47,pending,,,,1,
hard_st_b_v2_teacher1874_temporalbank_sinkreadoutlate_crossattn_routehist_finalqweight_seed15022_p1,A,fruitful,Route-trace-conditioned mixed late-bank cross-attention improves held confirms,1874,15022,base+full_locked+finalquery_heavy,scout_complete,4fbfaed,,late_sink_window+late_readout_window,yes,exit_time+route_histogram+delay_summary,yes,temporal_bank_reader,no,none,val overall=0.9922 fq_acc=0.9851 fq_route=0.9345 fq_exit=120.50; confirm full_locked=0.6582/0.2981/0.8797/116.14 finalquery_heavy=0.4502/0.3067/0.8785/115.97 longdistance=0.5316/0.3381/0.8799/145.07,confirm_complete,,,,1,
hard_st_b_v2_teacher1874_temporalbank_sinklate_querygated_w12_final_seed15023_p1,A,fruitful,Longer route-blind final-anchored sink bank tests whether contiguous late slab alone helps,1874,15023,base+full_locked+finalquery_heavy,scout_complete,4fbfaed,,late_sink_window_w12,yes,route_blind,yes,temporal_bank_reader,no,none,val overall=0.8516 fq_acc=0.6981 fq_route=0.9404 fq_exit=121.28,pending,,,,1,
hard_st_b_v2_teacher1874_temporalbank_sinklate_querygated_exitdelay_w12_seed15024_p1,A,fruitful,Exit-anchored sink bank with compact route trace tests route-conditioned retrieval over contiguous slabs,1874,15024,base+full_locked+finalquery_heavy,scout_complete,4fbfaed,,exit_anchored_sink_window_w12,yes,exit_time+delay_fraction,yes,temporal_bank_reader,no,none,val overall=0.8555 fq_acc=0.7061 fq_route=0.9384 fq_exit=121.09,pending,,,,1,
hard_st_b_v2_teacher1874_temporalbank_sinkpacket_queryfilm_exit_routehist_seed15025_p1,A,fruitful,Sink plus packet bank tests whether route context rescues packet-state signal when addressed temporally,1874,15025,base+full_locked+finalquery_heavy,scout_complete,4fbfaed,,exit_anchored_sink_window+packet_window,yes,exit_time+route_histogram,yes,temporal_bank_reader,no,none,val overall=0.9546 fq_acc=0.9295 fq_route=0.9255 fq_exit=119.69; base overall=0.9661 fq_acc=0.9452 fq_route=0.9459 fq_exit=121.69,pending,"Sink+packet Query-FILM is viable on base behavior but still clearly below the strongest mixed-bank reader family, so it does not merit confirm budget.",71489,719,0.056,1
hard_st_b_v2_teacher1874_temporalbank_readoutlate_querygated_finalquery_seed15026_p1,A,fruitful,Final-query anchored readout bank tests whether decisive signal is in late readout trajectory rather than sink state,1874,15026,base+full_locked+finalquery_heavy,scout_complete,4fbfaed,,final_query_anchored_readout_window,yes,route_blind,yes,temporal_bank_reader,no,none,val overall=0.9155 fq_acc=0.8282 fq_route=0.9543 fq_exit=122.55,pending,,,,1,
hard_st_b_v2_teacher1874_temporalbank_sinkreadout_crossattn_exit_noroute_seed15027_p1,A,fruitful,No-route cross-attention control separates bank capacity from route-trace conditioning,1874,15027,base+full_locked+finalquery_heavy,scout_complete,4fbfaed,,exit_anchored_sink_window+readout_window,yes,route_blind,yes,temporal_bank_reader,no,none,val overall=0.9575 fq_acc=0.9831 fq_route=0.9494 fq_exit=122.24; confirm full_locked=0.6608/0.3035/0.8797/116.14 finalquery_heavy=0.4557/0.3136/0.8785/115.97 longdistance=0.5368/0.3454/0.8799/145.07,confirm_complete,,,,1,
hard_st_b_v2_teacher1874_temporalbank_sinklate_queryfilm_delaypeak_entropy_seed15028_p1,A,fruitful,Delay-peak sink bank tests whether delayed segments hold extra answer signal missed by endpoint readers,1874,15028,base+full_locked+finalquery_heavy,scout_complete,4fbfaed,,delay_peak_sink_window,yes,delay_fraction+route_entropy+route_confidence,yes,temporal_bank_reader,no,none,val overall=0.4507 fq_acc=0.2691 fq_route=0.9444 fq_exit=121.59; base overall=0.4479 fq_acc=0.2594 fq_route=0.9519 fq_exit=122.41,pending,"Delay-peak sink bank preserves route but is content-poor on 1874, so this reader family is not competitive with the best endpoint or mixed-bank readers.",,,,1
hard_st_b_v2_teacher1874_factorized_sink_query_finalqweight_seed15031_p1,B,fruitful,Factorized sink-content and query branches reduce endpoint entanglement,1874,15031,base+full_locked+finalquery_heavy,scout_complete,4fbfaed,,final_sink_state,no,no_route_control,yes,factorized_reader,no,none,val overall=0.9976 fq_acc=0.9970 fq_route=0.9454 fq_exit=121.67; confirm full_locked=0.6592/0.3001/0.8797/116.14 finalquery_heavy=0.4541/0.3116/0.8785/115.97 longdistance=0.5326/0.3395/0.8799/145.07,confirm_complete,,,,1,
hard_st_b_v2_teacher1874_factorized_temporalbank_query_finalqweight_seed15032_p1,B,fruitful,Factorized temporal content branch plus query branch uses distributed trajectory content,1874,15032,base+full_locked+finalquery_heavy,scout_complete,4fbfaed,,late_sink_window,no,no_route_control,yes,factorized_reader,no,none,val overall=0.9946 fq_acc=0.9891 fq_route=0.9484 fq_exit=122.08; confirm full_locked=0.6585/0.2988/0.8797/116.14 finalquery_heavy=0.4508/0.3075/0.8785/115.97 longdistance=0.5316/0.3381/0.8799/145.07,confirm_complete,,,,1,
hard_st_b_v2_teacher1874_factorized_sink_query_gated_seed15033_p1,B,fruitful,Gated sink-content/query factorization tests whether query-dependent content masking helps held confirms,1874,15033,base+full_locked+finalquery_heavy,confirm_complete,4fbfaed,,final_sink_state,no,no_route_control,yes,factorized_reader,no,none,val overall=0.9951 fq_acc=0.9921 fq_route=0.9454 fq_exit=121.53; base overall=0.9890 fq_acc=0.9782 fq_route=0.9327 fq_exit=120.81; confirm full_locked=0.6484/0.3140/0.8761/115.20 finalquery_heavy=0.4514/0.3162/0.8786/115.62 longdistance=0.5093/0.2994/0.8839/145.40,confirm_complete,"Strong base-side factorized variant with a slightly different locked tradeoff, but it remains on the old held-confirm ceiling and gives back route versus the best phase-10/11 baselines.",,,,1
hard_st_b_v2_teacher1874_factorized_sink_query_bilinear_seed15034_p1,B,fruitful,Bilinear sink-content/query factorization tests explicit interaction over frozen content,1874,15034,base+full_locked+finalquery_heavy,confirm_complete,4fbfaed,,final_sink_state,no,no_route_control,yes,factorized_reader,no,none,val overall=0.9995 fq_acc=1.0000 fq_route=0.9484 fq_exit=122.20; base overall=0.9988 fq_acc=0.9976 fq_route=0.9429 fq_exit=121.72; confirm full_locked=0.6487/0.3144/0.8761/115.20 finalquery_heavy=0.4509/0.3156/0.8786/115.62 longdistance=0.5090/0.2991/0.8839/145.40,confirm_complete,"Very strong base fit but the same locked ceiling as 15033, with route slightly below the best phase-10/11 factorized baselines.",,,,1
hard_st_b_v2_teacher1874_factorized_temporalbank_query_gated_route_seed15035_p1,B,fruitful,Route-conditioned temporal content branch tests whether factorization and route-aware addressing combine cleanly,1874,15035,base+full_locked+finalquery_heavy,scout_complete,4fbfaed,,exit_anchored_sink_window+readout_window,yes,exit_time+route_histogram,yes,factorized_reader,no,none,val overall=0.9893 fq_acc=0.9811 fq_route=0.9315 fq_exit=120.37; base overall=0.9909 fq_acc=0.9833 fq_route=0.9398 fq_exit=121.50,pending,"Route-conditioned temporal factorization was clean but noncompetitive against 15033/15034/15037, so it does not justify confirm budget.",108657,719,0.056,1
hard_st_b_v2_teacher1821_factorized_temporalbank_query_gated_seed15036_p1,B,fruitful,Secondary-source portability check for temporal factorized reader on 1821,1821,15036,base+full_locked+finalquery_heavy,confirm_complete,4fbfaed,,exit_anchored_sink_window+readout_window,yes,exit_time+delay_fraction,yes,factorized_reader,no,none,val overall=0.9165 fq_acc=0.9076 fq_route=0.9176 fq_exit=121.45; base overall=0.9290 fq_acc=0.9351 fq_route=0.9201 fq_exit=122.53; confirm full_locked=0.5940/0.2501/0.8394/115.99 finalquery_heavy=0.3831/0.2419/0.8405/116.33 longdistance=0.4468/0.2342/0.8093/143.01,confirm_complete,"The no-aux 1821 factorized control already reaches the same held-confirm regime as 15040, implying the auxiliary heads mostly change base fit rather than the locked-confirm ceiling.",,,,1
hard_st_b_v2_teacher1874_factorized_sink_query_gated_payloadaux_seed15037_p1,B,fruitful,Payload-only auxiliary supervision tests whether content retrieval quality is the main missing factor,1874,15037,base+full_locked+finalquery_heavy,confirm_complete,2a0237c,,final_sink_state,no,no_route_control,yes,factorized_reader+payload_aux,no,none,val overall=0.9966 fq_acc=0.9940 fq_route=0.9464 fq_exit=121.79; base overall=0.9958 fq_acc=0.9918 fq_route=0.9438 fq_exit=121.94; confirm full_locked=0.6499/0.3168/0.8761/115.20 finalquery_heavy=0.4521/0.3171/0.8786/115.62 longdistance=0.5107/0.3015/0.8839/145.40,confirm_complete,"Payload-only auxiliary supervision nudges factorized 1874 content slightly upward, but it still stays on the same held-confirm ceiling and gives back route relative to the best phase-10/11 baseline.",,,,1
hard_st_b_v2_teacher1874_factorized_sink_query_gated_payloadqueryaux_seed15038_p1,B,fruitful,Joint payload and query auxiliary supervision tests disentangled retrieval and interpretation on sink-only factorization,1874,15038,base+full_locked+finalquery_heavy,scout_complete,fb7ff27,,final_sink_state,no,no_route_control,yes,factorized_reader+payload_query_aux,no,none,val overall=0.9941 fq_acc=0.9891 fq_route=0.9484 fq_exit=122.18; confirm full_locked=0.6572/0.2961/0.8797/116.14 finalquery_heavy=0.4492/0.3054/0.8785/115.97 longdistance=0.5326/0.3395/0.8799/145.07,confirm_complete,,,,1,
hard_st_b_v2_teacher1874_factorized_temporalbank_query_gated_route_payloadqueryaux_seed15039_p1,B,fruitful,Route-conditioned temporal content branch plus payload/query auxiliaries tests full factorized trajectory reading,1874,15039,base+full_locked+finalquery_heavy,scout_complete,fb7ff27,,exit_anchored_sink_window+readout_window,yes,exit_time+route_histogram,yes,factorized_reader+payload_query_aux,no,none,val overall=0.9912 fq_acc=0.9831 fq_route=0.9355 fq_exit=120.92,pending,,,,1,
hard_st_b_v2_teacher1821_factorized_temporalbank_query_gated_payloadqueryaux_seed15040_p1,B,fruitful,Portability check for payload/query auxiliary factorization on 1821,1821,15040,base+full_locked+finalquery_heavy,confirm_complete,2a0237c,,exit_anchored_sink_window+readout_window,yes,exit_time+delay_fraction,yes,factorized_reader+payload_query_aux,no,none,val overall=0.8364 fq_acc=0.6872 fq_route=0.9225 fq_exit=122.97; base overall=0.8506 fq_acc=0.7332 fq_route=0.9143 fq_exit=121.95; confirm full_locked=0.5935/0.2492/0.8394/115.99 finalquery_heavy=0.3818/0.2404/0.8405/116.33 longdistance=0.4475/0.2353/0.8093/143.01,confirm_complete,"Competitive 1821 base-side portability result, but held confirms fall back onto the established medium-source regime and do not beat the phase-10 1821 family.",,,,1
hard_st_b_v2_teacher1201_temporalwindow_contiguous_24_72_seed15041_p1,C,fruitful,Contiguous temporal slab transfer on 1201 beats sparse sampling,1201,15041,base+full_locked+finalquery_heavy+longdistance,scout_complete,fb7ff27,,sink_window_24_72,yes,no_route_control,yes,temporal_bank_reader,no,none,val overall=0.5107 fq_acc=0.2850 fq_route=0.7597 fq_exit=123.31,pending,,38081,,1,
