sample_id,benchmark_name,run_name,step,sample_index,label,prediction,correct,mode,needs_final_query,route_match,exit_time,query_time,late_relaxed,late_strict,retrieval_distance,payload,query,trigger_time
confirm:0:0,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,0,1,1,True,0,False,True,0.0,127.0,False,False,0,1,2,45
confirm:0:1,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,1,1,1,True,0,False,True,0.0,127.0,False,False,0,1,0,2
confirm:0:2,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,2,2,2,True,1,False,True,20.0,127.0,False,False,0,2,3,20
confirm:0:3,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,3,2,2,True,1,False,True,27.0,127.0,False,False,0,2,1,27
confirm:0:4,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,4,0,0,True,2,True,True,127.0,127.0,True,True,94,2,2,33
confirm:0:5,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,5,3,3,True,2,True,True,127.0,127.0,True,True,121,0,3,6
confirm:0:6,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,6,3,3,True,2,True,True,127.0,127.0,True,True,110,0,3,17
confirm:0:7,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,7,0,0,True,1,False,True,24.0,127.0,False,False,0,0,2,24
confirm:0:8,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,8,2,2,True,1,False,True,30.0,127.0,False,False,0,2,1,30
confirm:0:9,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,9,0,0,True,2,True,True,127.0,127.0,True,True,68,2,2,59
confirm:0:10,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,10,0,0,True,2,True,True,127.0,127.0,True,True,114,1,3,13
confirm:0:11,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,11,1,1,True,2,True,True,127.0,127.0,True,True,117,2,3,10
confirm:0:12,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,12,3,3,True,2,True,True,127.0,127.0,True,True,103,1,2,24
confirm:0:13,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,13,1,1,True,2,True,True,127.0,127.0,True,True,107,2,3,20
confirm:0:14,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,14,3,3,True,2,True,True,127.0,127.0,True,True,86,2,1,41
confirm:0:15,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,15,1,1,True,2,True,True,127.0,127.0,True,True,85,1,0,42
confirm:0:16,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,16,2,2,True,1,False,True,18.0,127.0,False,False,0,2,1,18
confirm:0:17,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,17,0,0,True,2,True,True,127.0,127.0,True,True,115,0,0,12
confirm:0:18,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,18,3,3,True,1,False,True,14.0,127.0,False,False,0,3,3,14
confirm:0:19,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,19,3,3,True,2,True,True,127.0,127.0,True,True,73,2,1,54
confirm:0:20,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,20,0,0,True,0,False,True,0.0,127.0,False,False,0,0,2,48
confirm:0:21,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,21,0,0,True,0,False,True,0.0,127.0,False,False,0,0,2,25
confirm:0:22,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,22,0,0,True,2,True,True,127.0,127.0,True,True,90,0,0,37
confirm:0:23,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,23,3,3,True,2,True,True,127.0,127.0,True,True,124,1,2,3
confirm:0:24,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,24,0,0,True,2,True,True,127.0,127.0,True,True,104,3,1,23
confirm:0:25,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,25,0,0,True,1,False,True,57.0,127.0,False,False,0,0,2,57
confirm:0:26,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,26,1,1,True,0,False,True,0.0,127.0,False,False,0,1,1,46
confirm:0:27,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,27,2,2,True,1,False,True,35.0,127.0,False,False,0,2,0,35
confirm:0:28,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,28,1,1,True,2,True,True,127.0,127.0,True,True,64,1,0,63
confirm:0:29,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,29,2,2,True,0,False,True,0.0,127.0,False,False,0,2,2,31
confirm:0:30,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,30,2,2,True,1,False,True,41.0,127.0,False,False,0,2,3,41
confirm:0:31,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,31,0,0,True,2,True,True,127.0,127.0,True,True,78,1,3,49
confirm:0:32,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,32,0,0,True,2,True,True,127.0,127.0,True,True,119,3,1,8
confirm:0:33,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,33,2,2,True,1,False,True,20.0,127.0,False,False,0,2,1,20
confirm:0:34,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,34,0,0,True,0,False,True,0.0,127.0,False,False,0,0,3,26
confirm:0:35,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,35,3,3,True,0,False,True,0.0,127.0,False,False,0,3,3,47
confirm:0:36,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,36,1,1,True,1,False,True,55.0,127.0,False,False,0,1,1,55
confirm:0:37,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,37,2,2,True,2,True,True,127.0,127.0,True,True,96,3,3,31
confirm:0:38,long_horizon_memory_v2,hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed18011_p1,0,38,1,1,True,0,False,True,0.0,127.0,False,False,0,1,0,45
