sample_id,benchmark_name,run_name,step,sample_index,label,prediction,correct,mode,needs_final_query,route_match,exit_time,query_time,late_relaxed,late_strict,retrieval_distance,payload,query,trigger_time
confirm:0:0,long_horizon_memory_v2,16045,0,0,1,1,True,0,False,True,0.0,127.0,False,False,0,1,3,33
confirm:0:1,long_horizon_memory_v2,16045,0,1,2,2,True,1,False,True,10.0,127.0,False,False,0,2,2,10
confirm:0:2,long_horizon_memory_v2,16045,0,2,1,1,True,2,True,True,127.0,127.0,True,True,100,2,3,27
confirm:0:3,long_horizon_memory_v2,16045,0,3,1,1,True,1,False,True,45.0,127.0,False,False,0,1,0,45
confirm:0:4,long_horizon_memory_v2,16045,0,4,3,3,True,2,True,True,127.0,127.0,True,True,102,2,1,25
confirm:0:5,long_horizon_memory_v2,16045,0,5,3,3,True,2,True,True,127.0,127.0,True,True,126,0,3,1
confirm:0:6,long_horizon_memory_v2,16045,0,6,1,1,True,2,True,True,127.0,127.0,True,True,88,0,1,39
confirm:0:7,long_horizon_memory_v2,16045,0,7,2,2,True,1,False,True,30.0,127.0,False,False,0,2,1,30
confirm:0:8,long_horizon_memory_v2,16045,0,8,2,2,True,1,False,True,44.0,127.0,False,False,0,2,2,44
confirm:0:9,long_horizon_memory_v2,16045,0,9,3,3,True,2,True,True,127.0,127.0,True,True,75,2,1,52
confirm:0:10,long_horizon_memory_v2,16045,0,10,2,2,True,2,True,True,127.0,127.0,True,True,105,3,3,22
confirm:0:11,long_horizon_memory_v2,16045,0,11,2,2,True,0,False,True,0.0,127.0,False,False,0,2,0,4
confirm:0:12,long_horizon_memory_v2,16045,0,12,0,0,True,0,False,True,0.0,127.0,False,False,0,0,2,36
confirm:0:13,long_horizon_memory_v2,16045,0,13,3,3,True,0,False,True,0.0,127.0,False,False,0,3,0,28
confirm:0:14,long_horizon_memory_v2,16045,0,14,1,1,True,2,True,True,127.0,127.0,True,True,86,3,2,41
confirm:0:15,long_horizon_memory_v2,16045,0,15,1,1,True,1,False,True,30.0,127.0,False,False,0,1,0,30
confirm:0:16,long_horizon_memory_v2,16045,0,16,1,1,True,1,False,True,47.0,127.0,False,False,0,1,3,47
confirm:0:17,long_horizon_memory_v2,16045,0,17,2,2,True,2,True,True,127.0,127.0,True,True,91,0,2,36
confirm:0:18,long_horizon_memory_v2,16045,0,18,3,3,True,2,True,True,127.0,127.0,True,True,75,0,3,52
confirm:0:19,long_horizon_memory_v2,16045,0,19,1,1,True,2,True,True,127.0,127.0,True,True,71,3,2,56
confirm:0:20,long_horizon_memory_v2,16045,0,20,2,2,True,2,True,True,127.0,127.0,True,True,114,0,2,13
confirm:0:21,long_horizon_memory_v2,16045,0,21,1,1,True,2,True,True,127.0,127.0,True,True,103,3,2,24
confirm:0:22,long_horizon_memory_v2,16045,0,22,1,1,True,0,False,True,0.0,127.0,False,False,0,1,3,55
confirm:0:23,long_horizon_memory_v2,16045,0,23,1,1,True,0,False,True,0.0,127.0,False,False,0,1,1,52
confirm:0:24,long_horizon_memory_v2,16045,0,24,1,1,True,2,True,True,127.0,127.0,True,True,86,2,3,41
confirm:0:25,long_horizon_memory_v2,16045,0,25,1,1,True,1,False,True,4.0,127.0,False,False,0,1,3,4
confirm:0:26,long_horizon_memory_v2,16045,0,26,2,2,True,1,False,True,22.0,127.0,False,False,0,2,0,22
confirm:0:27,long_horizon_memory_v2,16045,0,27,3,3,True,1,False,True,45.0,127.0,False,False,0,3,1,45
confirm:0:28,long_horizon_memory_v2,16045,0,28,3,3,True,0,False,True,0.0,127.0,False,False,0,3,3,8
confirm:0:29,long_horizon_memory_v2,16045,0,29,2,2,True,0,False,True,0.0,127.0,False,False,0,2,3,18
confirm:0:30,long_horizon_memory_v2,16045,0,30,3,3,True,0,False,True,0.0,127.0,False,False,0,3,1,30
confirm:0:31,long_horizon_memory_v2,16045,0,31,1,1,True,2,True,True,127.0,127.0,True,True,118,3,2,9
confirm:0:32,long_horizon_memory_v2,16045,0,32,0,0,True,0,False,True,0.0,127.0,False,False,0,0,3,49
confirm:0:33,long_horizon_memory_v2,16045,0,33,1,1,True,0,False,True,0.0,127.0,False,False,0,1,2,62
confirm:0:34,long_horizon_memory_v2,16045,0,34,1,1,True,0,False,True,0.0,127.0,False,False,0,1,1,16
confirm:0:35,long_horizon_memory_v2,16045,0,35,0,0,True,0,False,True,0.0,127.0,False,False,0,0,1,52
