run_name,cluster,hypothesis,variant,seed,train_split_id,val_split_id,test_split_id,confirm_split_id,stage,commit,parent_checkpoint,config_path,results_dir,status,reproduced,retired,retirement_reason,summary_json,verification_json,notes
hard_st_b_v2_control_router2_setclear_oraclecontrol_opt_selectexit_seed950_rerun1,anchor,Reproduce poor hard-ST phase-5 anchor on this machine before new phase-6 exploration.,phase5-hard-anchor,950,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=11001,rerun,4814c7a,results/phase3_dev/hard_st_b_v2_keymem_payloadaux_oraclewarm/hard_st_best.pt,configs/phase5/dev/hard_st_benchmark_b_v2_control_router2_setclear_oraclecontrol_opt_selectexit.yaml,results/phase6_anchor/hard_st_b_v2_control_router2_setclear_oraclecontrol_opt_selectexit_seed950_rerun1,completed,partial_match,false,,results/phase6_anchor/hard_st_b_v2_control_router2_setclear_oraclecontrol_opt_selectexit_seed950_rerun1/summary.json,results/phase6_anchor/hard_st_b_v2_control_router2_setclear_oraclecontrol_opt_selectexit_seed950_rerun1/artifacts/phase6_verify/verification.json,"Confirm fq_acc=0.2436, fq_route=0.0034, fq_exit=41.48; test close to phase-5 anchor."
hybrid_es_b_v2_control_router2_setclear_oraclecontrol_resume_from950_seed951_rerun1,anchor,Reproduce medium-basin ES rescue phase-5 anchor on this machine before new phase-6 exploration.,phase5-medium-es-anchor,951,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=11001,rerun,4814c7a,results/phase5_dev/hard_st_b_v2_control_router2_setclear_oraclecontrol_opt_selectexit_seed950_p1/hard_st_best.pt,configs/phase5/dev/hybrid_es_benchmark_b_v2_control_router2_setclear_oraclecontrol_resume.yaml,results/phase6_anchor/hybrid_es_b_v2_control_router2_setclear_oraclecontrol_resume_from950_seed951_rerun1,completed,yes,false,,results/phase6_anchor/hybrid_es_b_v2_control_router2_setclear_oraclecontrol_resume_from950_seed951_rerun1/summary.json,results/phase6_anchor/hybrid_es_b_v2_control_router2_setclear_oraclecontrol_resume_from950_seed951_rerun1/artifacts/phase6_verify/verification.json,"Test/confirm both remain perfect on overall accuracy, final-query accuracy, route match, and exit time."
hybrid_es_b_v2_control_router2_setclear_oraclecontrol_resume_from947_seed951_rerun1,anchor,Reproduce weak-basin ES partial-rescue phase-5 anchor on this machine before new phase-6 exploration.,phase5-weak-es-anchor,951,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=11001,rerun,61bd753,results/phase5_dev/hard_st_b_v2_control_router2_setclear_oraclecontrol_opt_seed947_p1/hard_st_best.pt,configs/phase5/dev/hybrid_es_benchmark_b_v2_control_router2_setclear_oraclecontrol_resume.yaml,results/phase6_anchor/hybrid_es_b_v2_control_router2_setclear_oraclecontrol_resume_from947_seed951_rerun1,completed,yes,false,,results/phase6_anchor/hybrid_es_b_v2_control_router2_setclear_oraclecontrol_resume_from947_seed951_rerun1/summary.json,results/phase6_anchor/hybrid_es_b_v2_control_router2_setclear_oraclecontrol_resume_from947_seed951_rerun1/artifacts/phase6_verify/verification.json,Reproduced weak-basin partial rescue: perfect routing with partial task recovery.
hard_st_b_v2_weak_es_content_refine_all_seed970_p1,A_recovery,Weak-basin ES rescue plus frozen-routing content refinement should recover task accuracy without breaking route timing.,freeze-routing_refine-all,970,train_seed=11,val_seed=101,test_seed=1001,pending,scout,61bd753,results/phase6_anchor/hybrid_es_b_v2_control_router2_setclear_oraclecontrol_resume_from947_seed951_rerun1/hybrid_es_best.pt,configs/phase6/dev/hard_st_benchmark_b_v2_weak_es_content_refine_all.yaml,results/phase6_dev/hard_st_b_v2_weak_es_content_refine_all_seed970_p1,completed,pending,false,,results/phase6_dev/hard_st_b_v2_weak_es_content_refine_all_seed970_p1/summary.json,,"Test overall=0.9225, fq_acc=0.8636, fq_route=0.8155, fq_exit=114.75. Better task accuracy than weak anchor, but route timing slipped."
hard_st_b_v2_controlwaitact_setclear_curriculum_seed981_p1,B_factorized_wait,Factorized WAIT/ACT controller should improve final-query discovery versus flat router2 baseline.,controlwaitact_setclear_curriculum,981,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,scout,61bd753,results/phase3_dev/hard_st_b_v2_keymem_payloadaux_oraclewarm/hard_st_best.pt,configs/phase6/dev/hard_st_benchmark_b_v2_controlwaitact_setclear_curriculum.yaml,results/phase6_dev/hard_st_b_v2_controlwaitact_setclear_curriculum_seed981_p1,retired,no,true,invalid_short_resume_budget_before_train_steps_delta_fix,results/phase6_dev/hard_st_b_v2_controlwaitact_setclear_curriculum_seed981_p1/summary.json,,Initial scout only received ~51 resumed updates before the train_steps_delta fix; do not compare it against later phase-6 runs.
hard_st_b_v2_controlwaitact_setclear_curriculum_seed981_p2,B_factorized_wait,Factorized WAIT/ACT controller should improve final-query discovery versus flat router2 baseline.,controlwaitact_setclear_curriculum,981,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,scout,61bd753,results/phase3_dev/hard_st_b_v2_keymem_payloadaux_oraclewarm/hard_st_best.pt,configs/phase6/dev/hard_st_benchmark_b_v2_controlwaitact_setclear_curriculum.yaml,results/phase6_dev/hard_st_b_v2_controlwaitact_setclear_curriculum_seed981_p2,completed,pending,false,,results/phase6_dev/hard_st_b_v2_controlwaitact_setclear_curriculum_seed981_p2/summary.json,,"Test overall=0.4590, route_match=0.1960, delay_rate=0.4779, fq_acc=0.2650, fq_route=0.0, fq_exit=3.92. Learns to delay in aggregate but still exits almost immediately on final-query cases."
hard_st_b_v2_controlsetclear_memoryheavy_seed985_p1,C_control_memory,Stronger control-state plus larger packet memory should preserve needs_final_query longer.,controlsetclear_memoryheavy,985,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,scout,61bd753,results/phase3_dev/hard_st_b_v2_keymem_payloadaux_oraclewarm/hard_st_best.pt,configs/phase6/dev/hard_st_benchmark_b_v2_controlsetclear_memoryheavy.yaml,results/phase6_dev/hard_st_b_v2_controlsetclear_memoryheavy_seed985_p1,retired,no,true,resume_shape_mismatch_before_non_strict_checkpoint_filter_fix,,,Initial memoryheavy scout hit checkpoint shape-mismatch when packet-memory slot count changed; superseded by seed985_p2 after load_checkpoint(strict=False) filtering fix.
hard_st_b_v2_controlsetclear_memoryheavy_seed985_p2,C_control_memory,Stronger control-state plus larger packet memory should preserve needs_final_query longer.,controlsetclear_memoryheavy,985,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,scout,61bd753,results/phase3_dev/hard_st_b_v2_keymem_payloadaux_oraclewarm/hard_st_best.pt,configs/phase6/dev/hard_st_benchmark_b_v2_controlsetclear_memoryheavy.yaml,results/phase6_dev/hard_st_b_v2_controlsetclear_memoryheavy_seed985_p2,completed,pending,false,,results/phase6_dev/hard_st_b_v2_controlsetclear_memoryheavy_seed985_p2/summary.json,,"Test overall=0.6325, route_match=0.5104, delay_rate=0.7026, fq_acc=0.2500, fq_route=0.0007, fq_exit=33.04. Best corrected discovery scout so far on overall accuracy and exit timing, but final-query route discovery is still essentially absent."
hard_st_b_v2_controlwaitact_supervision_waitheavy_seed995_p1,F_objective_curriculum,Extra wait supervision should stabilize factorized controller discovery before release.,controlwaitact_supervision_waitheavy,995,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,scout,61bd753,results/phase3_dev/hard_st_b_v2_keymem_payloadaux_oraclewarm/hard_st_best.pt,configs/phase6/dev/hard_st_benchmark_b_v2_controlwaitact_supervision_waitheavy.yaml,results/phase6_dev/hard_st_b_v2_controlwaitact_supervision_waitheavy_seed995_p1,completed,pending,false,,results/phase6_dev/hard_st_b_v2_controlwaitact_supervision_waitheavy_seed995_p1/summary.json,,"Test overall=0.4519, route_match=0.2234, delay_rate=0.4955, fq_acc=0.2400, fq_route=0.0, fq_exit=4.95. Heavier wait CE alone does not fix final-query release timing."
hard_st_b_v2_weak_es_content_refine_all_seed970_p2,A_recovery,Weak-basin ES rescue plus frozen-routing content refinement should recover task accuracy without breaking route timing.,freeze-routing_refine-all,970,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,rerun,61bd753,results/phase6_anchor/hybrid_es_b_v2_control_router2_setclear_oraclecontrol_resume_from947_seed951_rerun1/hybrid_es_best.pt,configs/phase6/dev/hard_st_benchmark_b_v2_weak_es_content_refine_all.yaml,results/phase6_dev/hard_st_b_v2_weak_es_content_refine_all_seed970_p2,completed,yes,false,,results/phase6_dev/hard_st_b_v2_weak_es_content_refine_all_seed970_p2/summary.json,,"Corrected rerun held up: test overall=0.9105, fq_acc=0.8529, fq_route=0.8128, fq_exit=114.51. Slightly lower than p1 on task/route, but same qualitative improvement over the weak ES anchor."
hard_st_b_v2_router2_forceoracle_release_seed990_p1,D_alt_discovery,Short oracle-forced route imitation followed by hard release may discover a usable final-query waiting policy from scratch.,forceoracle_release,990,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,scout,61bd753,results/phase3_dev/hard_st_b_v2_keymem_payloadaux_oraclewarm/hard_st_best.pt,configs/phase6/dev/hard_st_benchmark_b_v2_router2_forceoracle_release.yaml,results/phase6_dev/hard_st_b_v2_router2_forceoracle_release_seed990_p1,completed,pending,false,,results/phase6_dev/hard_st_b_v2_router2_forceoracle_release_seed990_p1/summary.json,,"Best discovery scout so far: test overall=0.6406, route_match=0.5290, fq_acc=0.3229, fq_route=0.1096, fq_exit=74.96. First corrected phase-6 run with meaningful final-query route recovery and exit timing far later than the B/C scouts."
