run_name,cluster,budget_bucket,hypothesis,source_family,seed,split_ids,status,commit,parent_checkpoint,route_anchor,content_teacher,memory_router_control_frozen,trainable_components,aux_or_distill_targets,result_summary,verification_status,retirement_reason,trainable_params,train_steps,wallclock_hours,gpu_count
hard_st_b_v2_teacher1874_anchor16045_selectlocked_seed17011_p1,anchor,main,Reproduce the phase13 stable control before any phase14 claims,1874,17011,base+full_locked+finalquery_heavy+longdistance,completed,3d98c95,,16045,no,yes,readout+factorized_+trajectory_bank_,none,best_val dqf 0.9990/0.9444/121.58 ; full_locked dqf 0.9972/0.9402/121.33 ; finalquery_heavy dqf 0.9976/0.9418/121.61,anchor_reproduced,",",2155113,640,,1
hard_st_b_v2_teacher1874_anchor16081_selectlocked_seed17012_p1,anchor,main,Reproduce the phase13 best refinement as the main content-teacher candidate,1874,17012,base+full_locked+finalquery_heavy+longdistance,completed,3d98c95,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,16081,yes,readout+factorized_+trajectory_bank_,teacher15057 delayed_only logits,best_val dqf 0.9980/0.9434/121.59 ; full_locked dqf 0.9972/0.9244/119.88 ; finalquery_heavy dqf 0.9957/0.9382/121.04,mismatch_logged,full_locked route/exit weaker than phase13 handoff expectation under current stack,2155113,640,,1
hard_st_b_v2_teacher1874_anchor16066_selectlocked_seed17013_p1,anchor,main,Reproduce the clean anti-shortcut family for later hard-slice and route-floor controls,1874,17013,base+full_locked+finalquery_heavy+longdistance,completed,3d98c95,results/phase12_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_noroute_seed15057_p1/hard_st_best.pt,16066,none,yes,readout+factorized_+trajectory_bank_,parameter_anchor15057,best_val dqf 0.9970/0.9454/121.79 ; full_locked dqf 1.0000/0.9561/122.72 ; finalquery_heavy dqf 0.9994/0.9455/121.72 ; longdistance dqf 0.9986/0.9466/152.66,anchor_reproduced,",",2155113,640,,1
hard_st_b_v2_teacher1821_anchor16092_selectsum_locked_seed17014_p1,anchor,characterization,Reproduce the bounded 1821 portability baseline before applying any phase14 content recipe,1821,17014,base+full_locked+finalquery_heavy+longdistance,completed,3d98c95,,none,none,yes,readout+factorized_+trajectory_bank_,none,best_val dqf 0.9831/0.9285/123.27 ; full_locked dqf 0.9823/0.9169/122.47 ; finalquery_heavy dqf 0.9847/0.9161/122.15 ; longdistance dqf 0.9778/0.8857/150.97,anchor_reproduced,",",2155113,640,,1
hard_st_b_v2_teacher1879_anchor16093_selectlexi_locked_seed17015_p1,anchor,characterization,Reproduce the 1879 negative control to keep bad-source sanity current,1879,17015,base+full_locked+finalquery_heavy,completed,3d98c95,,none,none,yes,reader_head_only,none,best_val dqf 0.2602/0.8898/123.05 ; full_locked dqf 0.2624/0.8842/122.49 ; finalquery_heavy dqf 0.2492/0.8977/123.31,anchor_reproduced,",",4788,640,,1
hard_st_b_v2_teacher1874_contentbranch_resume16045_base_seed17021_p1,A,main,Resume fixed 16045 with only content branch and downstream readout trainable as the no-aux control,1874,17021,base+full_locked+finalquery_heavy+longdistance,completed,3d98c95,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,none,yes,factorized_content_proj+factorized_bilinear+readout,none,best_val dqf 0.9980/0.9374/121.06 ; full_locked dqf 0.9991/0.9514/122.41 ; finalquery_heavy dqf 0.9951/0.9430/121.67 ; longdistance dqf 0.9986/0.9508/153.34,retired_after_hardslice_gate,"despite the strong selection summary, the full_locked hard-slice audit lost 2 of 3 late-relaxed disagreements to 17011 and increased late_wrong_content from 1 to 2, so 17021 did not earn rerun or confirm budget",2114820,640,,1
hard_st_b_v2_teacher1874_contentbranch_resume16045_payloadaux025_fqonly_seed17022_p1,A,main,Payload latent auxiliary on the content branch may improve held-confirm content without touching route behavior,1874,17022,base+full_locked+finalquery_heavy+longdistance,completed,22dfc05,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,none,yes,factorized_content_proj+factorized_bilinear+factorized_payload_head+readout,payload aux weight 0.25 final_query_only,best_val dqf 0.9980/0.9454/121.82 ; full_locked dqf 0.9944/0.9328/120.63 ; finalquery_heavy dqf 0.9945/0.9492/122.35 ; longdistance dqf 0.9951/0.9383/151.99,retired_after_hardslice_gate,"full_locked hard-slice against 17011 lost 3 of 4 late-relaxed disagreements and increased late_wrong_content from 1 to 3, so the lighter payload-only auxiliary did not earn rerun budget",2115336,640,,1
hard_st_b_v2_teacher1874_contentbranch_resume16045_payloadaux040_fqonly_seed17023_p1,A,main,Heavier payload latent auxiliary may lift content more than the lighter content-branch control,1874,17023,base+full_locked+finalquery_heavy+longdistance,completed,22dfc05,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,none,yes,factorized_content_proj+factorized_bilinear+factorized_payload_head+readout,payload aux weight 0.40 final_query_only,best_val dqf 0.9950/0.9315/120.52 ; full_locked dqf 0.9981/0.9440/121.60 ; finalquery_heavy dqf 0.9957/0.9473/122.09 ; longdistance dqf 0.9979/0.9522/153.52,retired_after_hardslice_gate,"full_locked hard-slice against 17011 lost 3 of 4 late-relaxed disagreements and increased late_wrong_content from 1 to 3, so the heavier payload-only auxiliary did not earn rerun budget",2115336,640,,1
hard_st_b_v2_teacher1874_contentbranch_resume16045_teacher16081_contentmse010_fqonly_seed17024_p1,A,main,Content-hidden distillation from 16081 may improve held-confirm content while preserving the 16045 route regime,1874,17024,base+full_locked+finalquery_heavy+longdistance,completed,1122cff,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,16081,yes,factorized_content_proj+factorized_bilinear+readout,teacher16081 factorized_content_weight 0.10 final_query_only,best_val dqf 0.9980/0.9404/121.23 ; full_locked dqf 0.9981/0.9346/120.62 ; finalquery_heavy dqf 0.9969/0.9424/121.35 ; longdistance dqf 0.9965/0.9453/152.74,retired_after_locked_confirm,full_locked hard-slice audit beats 17011 on all 3 late disagreements but locked confirm falls back to dqf 0.2995/0.8797/116.14,2114820,640,,1
hard_st_b_v2_teacher1874_contentbranch_resume16045_teacher16081_contentmse020_fqonly_seed17025_p1,A,main,Stronger content-hidden distillation from 16081 tests whether the content ceiling is supervision-limited rather than purely architectural,1874,17025,base+full_locked+finalquery_heavy+longdistance,completed,1122cff,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,16081,yes,factorized_content_proj+factorized_bilinear+readout,teacher16081 factorized_content_weight 0.20 final_query_only,best_val dqf 0.9940/0.9265/120.26 ; full_locked dqf 0.9972/0.9393/121.01 ; finalquery_heavy dqf 0.9945/0.9467/121.81 ; longdistance dqf 0.9965/0.9466/152.62,retired_after_locked_confirm,"hard-slice win and exact rerun both held, but locked confirm still fell back to test dqf 0.2874/0.8850/116.22 on full_locked and 0.2968/0.8789/115.56 on finalquery_heavy",2114820,640,,1
hard_st_b_v2_teacher1874_contentbranch_resume16045_dualanchor16081_base_seed17031_p1,B,main,Anchor the readout path to 16045 while 16081 teaches only the content branch hidden state,1874,17031,base+full_locked+finalquery_heavy+longdistance,completed,01e41c8,results/phase13_dev/hard_st_b_v2_teacher1874_factorized_temporalbank_query_bilinear_bridge_blend85_15051readout_15057extras_selectlocked_seed16045_p1/hard_st_best.pt,16045,16081,yes,factorized_content_proj+factorized_bilinear+readout,teacher16081 factorized_content_weight 0.10 + parameter_anchor(readout->16045),best_val dqf 0.9950/0.9454/121.75 ; full_locked dqf 0.9972/0.9570/123.08 ; finalquery_heavy dqf 0.9969/0.9326/120.64 ; longdistance dqf 0.9986/0.9591/154.08,retired_after_locked_confirm,"hard-slice win and exact rerun both held, but locked confirm still fell back to test dqf 0.2874/0.8850/116.22 on full_locked and 0.2968/0.8789/115.56 on finalquery_heavy",2114820,640,,1
