run_name,cluster,budget_half,hypothesis,variant,seed,train_split_id,val_split_id,test_split_id,confirm_split_id,stage,commit,parent_checkpoint,teacher_source,teacher_channels,release_schedule,config_path,results_dir,status,reproduced,retired,retirement_reason,summary_json,verification_json,verification_status,notes
hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_control_anneal_seed1801_p1,A,fruitful,"A strong keepalive teacher on wait/release plus control-state channels, annealed to zero, may create a teacher-free direct keepalive basin-entry recipe.",keepalive_teacher_waitrelease_control_anneal,1801,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,scout,9f14d85,,results/phase7_dev/hybrid_es_b_v2_controlsticky_keepalive_resume_from989_seed1201_p1,route_action+control_prob+wait_prob+release_prob+control_state,"scale 1.0->0.0 over 512 steps, stop at 560",configs/phase8/dev/hard_st_benchmark_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_control_anneal.yaml,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_control_anneal_seed1801_p1,stopped_early,,false,combined_teacher_channels_retired_early,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_control_anneal_seed1801_p1/summary.json,,partial_negative,"Stopped after val step 431 to free GPU1 for channel isolation. It never produced non-zero final-query route match; latest val overall=0.4473, fq_acc=0.2582, fq_route=0.0000, fq_exit=126.98."
hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_anneal_seed1802_p1,A,fruitful,"If wait/release channels are the essential teacher signal, a strong keepalive teacher without explicit control-state targets should still seed basin entry.",keepalive_teacher_waitrelease_only_anneal,1802,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,scout,9f14d85,,results/phase7_dev/hybrid_es_b_v2_controlsticky_keepalive_resume_from989_seed1201_p1,route_action+wait_prob+release_prob,"scale 1.0->0.0 over 512 steps, stop at 560",configs/phase8/dev/hard_st_benchmark_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_anneal.yaml,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_anneal_seed1802_p1,completed,pending_rerun,false,,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_anneal_seed1802_p1/summary.json,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_anneal_seed1802_p1/artifacts/phase8_verify/verification.json,base_verified,"First real phase-8 basin-entry positive. The selected checkpoint is route-faithful and teacher-free at eval: test overall=0.2643, route=0.4867, fq_acc=0.2600, fq_route=0.9993, fq_exit=126.9993. Independent verify stayed in-regime at overall=0.2643, route=0.4860, fq_acc=0.2600, fq_route=0.9980, fq_exit=126.9987. The run showed repeated entry and collapse, peaking in-val near overall=0.7207, fq_acc=0.4469, fq_route=0.8997, fq_exit=119.05 before later drift."
hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_anneal_seed1802_rerun1,A,fruitful,Exact same-seed confirmation for the first teacher wait/release-only basin-entry recipe once the original run finishes and its selected checkpoint is recorded.,keepalive_teacher_waitrelease_only_anneal_rerun,1802,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,rerun,9f14d85,,results/phase7_dev/hybrid_es_b_v2_controlsticky_keepalive_resume_from989_seed1201_p1,route_action+wait_prob+release_prob,"scale 1.0->0.0 over 512 steps, stop at 560",configs/phase8/dev/hard_st_benchmark_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_anneal.yaml,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_anneal_seed1802_rerun1,completed,raw_match,false,,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_anneal_seed1802_rerun1/summary.json,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_anneal_seed1802_rerun1/artifacts/phase8_verify/verification.json,locked_confirm_verified,"Exact same-seed rerun matched the original selected route-faithful checkpoint regime. Phase-8 verify now confirms base overall=0.2643, fq_acc=0.2600, fq_route=0.9980, fq_exit=127.00; full_locked=0.2643/0.2600/0.9960/126.71, finalquery-heavy=0.2562/0.2500/0.9967/126.74, longdistance=0.2360/0.2305/0.9968/158.74."
hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_dropoutwarm_selectacc_seed1820_p1,A,fruitful,Teacher dropout during the wait/release-only long-release schedule may reduce teacher-timing overdependence and stabilize teacher-free basin entry.,keepalive_teacher_waitrelease_only_dropoutwarm_selectacc,1820,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,tuned,9f14d85,,results/phase7_dev/hybrid_es_b_v2_controlsticky_keepalive_resume_from989_seed1201_p1,route_action+wait_prob+release_prob,"dropout 0.25->0.0, teacher scale 1.0->0.0 over 512, stop 608, select by fq accuracy",configs/phase8/dev/hard_st_benchmark_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_dropoutwarm_selectacc.yaml,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_dropoutwarm_selectacc_seed1820_p1,stopped_early,,false,,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_dropoutwarm_selectacc_seed1820_p1/summary.json,,partial_negative,Stopped after route emergence plateaued below the 1802 teacher-seeded basin. Val steps 95-215 reached only aggregate route 0.47->0.28 with no stable route-faithful selected checkpoint; treated as a tuned negative rather than a promotable basin-entry recipe.
hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_longrelease_seed1811_p1,A,fruitful,"If the wait/release-only teacher can enter the basin but loses it after teacher decay, a longer release schedule should preserve late-route structure while improving teacher-free stability.",keepalive_teacher_waitrelease_only_longrelease,1811,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,tuned,9f14d85,,results/phase7_dev/hybrid_es_b_v2_controlsticky_keepalive_resume_from989_seed1201_p1,route_action+wait_prob+release_prob,"scale 1.0->0.0 over 640 steps, stop at 704",configs/phase8/dev/hard_st_benchmark_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_longrelease.yaml,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_longrelease_seed1811_p1,stopped_early,,false,route_selector_misselected_content,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_longrelease_seed1811_p1/summary.json,,partial_positive,"Stopped after val step 503 once the route-only selection mismatch was clear. It reached a much stronger teacher-free regime mid-run, peaking near step 383 at overall=0.7710, fq_acc=0.5909, fq_route=0.7776, fq_exit=103.02, but later drifted back toward route-only checkpoints. This run established that longer release can beat the old direct anchor on all target axes in-val, but checkpoint choice must be content-aware."
hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_longrelease_selectacc_seed1819_p1,A,fruitful,"If long-release basin entry is real but route-only checkpoint selection underweights content quality, selecting by final-query accuracy should preserve the route-faithful basin while choosing the stronger content checkpoint.",keepalive_teacher_waitrelease_only_longrelease_selectacc,1819,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,tuned,9f14d85,,results/phase7_dev/hybrid_es_b_v2_controlsticky_keepalive_resume_from989_seed1201_p1,route_action+wait_prob+release_prob,"scale 1.0->0.0 over 640 steps, stop at 704",configs/phase8/dev/hard_st_benchmark_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_longrelease_selectacc.yaml,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_longrelease_selectacc_seed1819_p1,completed,,false,,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_keepalive_waitrelease_only_longrelease_selectacc_seed1819_p1/summary.json,,partial_negative,"Completed with selection metric per_mode.delay_to_final_query.accuracy, but still failed to recover a late-route teacher-free basin. Best-val overall=0.5781, fq_acc=0.2790, fq_route=0.0000, fq_exit=40.09; test overall=0.5716, fq_acc=0.2627, fq_route=0.0000, fq_exit=39.43."
hard_st_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectacc_seed1822_p1,A,fruitful,"If the medium-teacher wait/release-only long-release recipe is a real basin-entry method rather than a one-seed artifact, it should generalize to nearby seeds under the same teacher-free evaluation.",medium_teacher_waitrelease_only_longrelease_selectacc_panel,1822,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,seed-panel,9f14d85,,results/phase7_dev/hybrid_es_b_v2_forceoracle_teacherdistill_resume_from1703_seed1711_rerun1,route_action+wait_prob+release_prob,"scale 1.0->0.0 over 640 steps, stop at 704, select by fq accuracy",configs/phase8/dev/hard_st_benchmark_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectacc_seed1822.yaml,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectacc_seed1822_p1,stopped_early,,false,,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectacc_seed1822_p1/summary.json,,partial_negative,"Stopped after the failure mode became clear. This seed briefly entered a route-faithful basin at val step 167 with overall=0.3198, route=0.4917, fq_acc=0.2522, fq_route=1.0000, fq_exit=127.00, but later drifted and the configured fq-accuracy selector would have preferred a worse checkpoint. Treated as evidence that selection metric, not just teacher schedule, is part of the instability."
hard_st_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectacc_seed1823_p1,A,fruitful,"If the medium-teacher wait/release-only long-release recipe is a real basin-entry method rather than a one-seed artifact, it should generalize to nearby seeds under the same teacher-free evaluation.",medium_teacher_waitrelease_only_longrelease_selectacc_panel,1823,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,seed-panel,9f14d85,,results/phase7_dev/hybrid_es_b_v2_forceoracle_teacherdistill_resume_from1703_seed1711_rerun1,route_action+wait_prob+release_prob,"scale 1.0->0.0 over 640 steps, stop at 704, select by fq accuracy",configs/phase8/dev/hard_st_benchmark_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectacc_seed1823.yaml,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectacc_seed1823_p1,stopped_early,,false,,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectacc_seed1823_p1/summary.json,,partial_negative,"Stopped after reproducing the same instability as seed 1822. This seed hit a strong route-faithful checkpoint at val step 167 with overall=0.3184, route=0.5371, fq_acc=0.2522, fq_route=0.9742, fq_exit=126.26, then drifted to fq_route=0.3327 by step 263. Treated as more evidence that the selector is discarding the basin rather than the teacher failing to find it."
hard_st_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectroute_seed1826_p1,A,fruitful,"If the medium-teacher recipe is entering the route-faithful basin but losing it under the fq-accuracy selector, selecting by final-query route match may turn that into a reproducible teacher-free basin-entry recipe.",medium_teacher_waitrelease_only_longrelease_selectroute,1826,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,tuned,9f14d85,,results/phase7_dev/hybrid_es_b_v2_forceoracle_teacherdistill_resume_from1703_seed1711_rerun1,route_action+wait_prob+release_prob,"scale 1.0->0.0 over 640 steps, stop at 704, select by fq route match",configs/phase8/dev/hard_st_benchmark_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectroute_seed1826.yaml,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectroute_seed1826_p1,completed,,false,,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectroute_seed1826_p1/summary.json,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectroute_seed1826_p1/artifacts/phase8_verify/verification.json,locked_confirm_verified,"Stopped early once the route-selected checkpoint was clearly locked in. Independent verify on the teacher-free selected checkpoint gives overall=0.2484, route=0.4844, fq_acc=0.2600, fq_route=0.9947, fq_exit=126.92. Locked confirms stayed route-faithful and late-exiting too: full_locked overall=0.2536, fq_acc=0.2707, fq_route=0.8656, fq_exit=122.76; finalquery_heavy 0.2539/0.2631/0.8649/122.82; longdistance 0.2376/0.2332/0.8399/152.09. This is the first confirmation-clean teacher-free basin-entry result, though content remains weak."
hard_st_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectroute_seed1826_rerun1,A,fruitful,"If the best selectroute seed is a real teacher-free basin-entry result rather than one lucky trajectory, the exact same-seed rerun should reproduce it from scratch.",medium_teacher_waitrelease_only_longrelease_selectroute_rerun,1826,train_seed=11,val_seed=101,test_seed=1001,confirm_seed=21001,rerun,9f14d85,,results/phase7_dev/hybrid_es_b_v2_forceoracle_teacherdistill_resume_from1703_seed1711_rerun1,route_action+wait_prob+release_prob,"scale 1.0->0.0 over 640 steps, stop at 704, select by fq route match",configs/phase8/dev/hard_st_benchmark_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectroute_seed1826.yaml,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectroute_seed1826_rerun1,stopped_early,base_match,false,,,results/phase8_dev/hard_st_b_v2_controlsticky_keepalive_teacher_medium_waitrelease_only_longrelease_selectroute_seed1826_rerun1/artifacts/phase8_verify/verification.json,base_verified,"The exact same-seed rerun reproduced the original selected checkpoint exactly at val step 119, then was stopped after the later drift regime became irrelevant. Independent base verify on the saved best checkpoint gives overall=0.2490, route=0.4857, fq_acc=0.2607, fq_route=0.9973, fq_exit=127.00, which is within eval noise of the original 1826 selectroute result."
